Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0246	The type or namespace name 'ChatMessageContent' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Domain	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Domain\Memory\IChatHistory.cs	10		
Error (active)	CS0246	The type or namespace name 'IChatResult' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Application	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Application\Agent\Routing\Backends\AzureOpenAIChatBackend.cs	19		
Error (active)	CS0246	The type or namespace name 'IChatResult' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Application	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Application\Agent\Routing\IChatBackend.cs	11		
Error (active)	CS0246	The type or namespace name 'FunctionCall' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Application	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Application\Agent\ToolCallParser.cs	10		
Error (active)	CS0246	The type or namespace name 'IChatResult' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Application	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Application\Agent\ToolCallParser.cs	10		
Error (active)	CS0246	The type or namespace name 'IChatResult' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Application	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Application\Agent\ToolCallParser.cs	15		
Error (active)	CS0246	The type or namespace name 'ToolCallResult' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Application	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Application\Agent\ToolCallParser.cs	20		
Error (active)	CS0234	The type or namespace name 'Agent' does not exist in the namespace 'AI_AI_Agent.Application' (are you missing an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Storage\InMemoryChatStore.cs	1		
Error (active)	CS0246	The type or namespace name 'IChatStore' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Storage\InMemoryChatStore.cs	9		
Error (active)	CS0234	The type or namespace name 'Agent' does not exist in the namespace 'AI_AI_Agent.Application' (are you missing an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\ToolBusSignalR.cs	1		
Error (active)	CS0234	The type or namespace name 'API' does not exist in the namespace 'AI_AI_Agent' (are you missing an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\ToolBusSignalR.cs	3		
Error (active)	CS0246	The type or namespace name 'IToolBus' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\ToolBusSignalR.cs	9		
Error (active)	CS0246	The type or namespace name 'AgentEventsHub' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\ToolBusSignalR.cs	11		
Error (active)	CS0246	The type or namespace name 'AgentEventsHub' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\ToolBusSignalR.cs	13		
Error (active)	CS0234	The type or namespace name 'Agent' does not exist in the namespace 'AI_AI_Agent.Application' (are you missing an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\WebBrowseTool.cs	1		
Error (active)	CS0246	The type or namespace name 'ITool' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.Infrastructure	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.Infrastructure\Tools\WebBrowseTool.cs	9		
Error (active)	CS0234	The type or namespace name 'Agent' does not exist in the namespace 'AI_AI_Agent.Application' (are you missing an assembly reference?)	AI&AI Agent.API	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.API\Controllers\AgentController.cs	4		
Error (active)	CS0246	The type or namespace name 'AgentLoop' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.API	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.API\Controllers\AgentController.cs	17		
Error (active)	CS0246	The type or namespace name 'AgentLoop' could not be found (are you missing a using directive or an assembly reference?)	AI&AI Agent.API	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.API\Controllers\AgentController.cs	19		
Error (active)	CS0234	The type or namespace name 'Agent' does not exist in the namespace 'AI_AI_Agent.Application' (are you missing an assembly reference?)	AI&AI Agent.API	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.API\Program.cs	12		
Error (active)	CS0234	The type or namespace name 'Agent' does not exist in the namespace 'AI_AI_Agent.Application' (are you missing an assembly reference?)	AI&AI Agent.API	C:\Users\Icomp\Desktop\Final Project\AI-AI-Agent-Backend\AI&AI Agent.API\Program.cs	13		
